Title,Price
Mere Christianity,£48.51
Fun Home: A Family Tragicomic,£56.59
The Darkest Corners,£11.33
Tell Me Three Things,£41.81
Lola and the Boy Next Door (Anna and the French Kiss #2),£23.63
Kill the Boy Band,£15.52
Isla and the Happily Ever After (Anna and the French Kiss #3),£48.13
An Abundance of Katherines,£10.00
The Raven King (The Raven Cycle #4),£30.57
Find Her (Detective D.D. Warren #8),£22.37
The Whale,£35.96
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,£34.72
Wildlife of New York: A Five-Borough Coloring Book,£22.14
Death by Leisure: A Cautionary Tale,£37.51
"Giant Days, Vol. 1 (Giant Days #1-4)",£56.76
"Fruits Basket, Vol. 1 (Fruits Basket #1)",£40.28
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",£34.65
The God Delusion,£46.85
The Golden Compass (His Dark Materials #1),£18.77
Pride and Prejudice,£19.27
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",£57.06
John Adams,£57.43
Good in Bed (Cannie Shapiro #1),£37.05
The Joy of Cooking,£43.27
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",£45.24
Nightstruck: A Novel,£50.35
Two Summers,£14.64
Tell the Wolves I'm Home,£50.96
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",£47.31
Ender's Game (The Ender Quintet #1),£43.64
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,£28.41
Playing from the Heart,£32.38
When I'm Gone,£51.96
Raymie Nightingale,£34.41
"Rich Dad, Poor Dad",£51.74
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",£52.87
Where She Went (If I Stay #2),£41.73
Sister Dear,£40.20
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,£20.90
Team of Rivals: The Political Genius of Abraham Lincoln,£20.12
"Saga, Volume 1 (Saga (Collected Editions) #1)",£28.48
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",£46.96
"Paper Girls, Vol. 1 (Paper Girls #1-5)",£21.71
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",£29.87
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",£39.39
"Skip Beat!, Vol. 01 (Skip Beat! #1)",£42.12
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,£33.17
The Bourne Identity (Jason Bourne #1),£42.78
The Drowning Girls,£35.67
The Glass Castle,£16.24
The Good Girl,£49.03
The Great Gatsby,£36.05
The Origin of Species,£10.01
Meternity,£43.58
Life of Pi,£13.22
Memoirs of a Geisha,£49.67
Future Shock (Future Shock #1),£55.65
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,£52.86
Every Heart a Doorway (Every Heart A Doorway #1),£12.16
A Gathering of Shadows (Shades of Magic #2),£44.81
The Art of Not Breathing,£40.83
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",£18.51
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",£36.52
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",£54.12
The Complete Maus (Maus #1-2),£10.64
Disrupted: My Misadventure in the Start-Up Bubble,£15.28
Brave Enough,£51.32
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",£27.35
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,£28.88
Gratitude,£26.66
The Haters,£27.89
Blink: The Power of Thinking Without Thinking,£21.74
23 Degrees South: A Tropical Tale of Changing Whether...,£35.79
A Hero's Curse (The Unseen Chronicles #1),£50.49
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,£38.71
The Gunning of America: Business and the Making of American Gun Culture,£16.81
The Fellowship of the Ring (The Lord of the Rings #1),£10.27
The Hobbit (Middle-Earth Universe),£17.80
The Makings of a Fatherless Child,£31.58
The Perks of Being a Wallflower,£55.02
The Sound Of Love,£57.84
The New Brand You: Your New Image Makes the Sale for You,£44.05
The Shack,£28.03
Let's Pretend This Never Happened: A Mostly True Memoir,£45.11
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,£42.38
Into the Wild,£56.70
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",£28.85
Cinder (The Lunar Chronicles #1),£26.09
Boy Meets Boy,£21.12
Annie on My Mind,£36.83
New Moon (Twilight #2),£12.86
Golden (Heart of Dread #3),£42.21
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",£57.83
Letter to a Christian Nation,£22.20
Girl Online On Tour (Girl Online #2),£53.47
Underlying Notes,£11.82
Unlimited Intuition Now,£58.87
Watchmen,£58.05
Without Shame,£48.27
Give It Back,£18.32
Me Before You (Me Before You #1),£19.02
Musicophilia: Tales of Music and the Brain,£46.58
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,£30.60
Harry Potter and the Half-Blood Prince (Harry Potter #6),£48.75
Harry Potter and the Chamber of Secrets (Harry Potter #2),£14.74
The Rose & the Dagger (The Wrath and the Dawn #2),£58.64
The New Guy (and Other Senior Year Distractions),£44.92
"The Land of 10,000 Madonnas",£29.64
Scarlet (The Lunar Chronicles #2),£14.57
Legend (Legend #1),£43.69
Lady Renegades (Rebel Belle #3),£53.04
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",£41.67
Outliers: The Story of Success,£14.16
Notes from a Small Island (Notes From a Small Island #1),£40.17
Soldier (Talon #3),£24.72
Spilled Milk: Based on a True Story,£49.51
Two Boys Kissing,£32.74
Night (The Night Trilogy #1),£13.51
Stiff: The Curious Lives of Human Cadavers,£36.74
The Golden Condom: And Other Essays on Love Lost and Found,£39.43
Twenty Yawns,£22.08
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",£45.95
The Fault in Our Stars,£47.22
The Grand Design,£13.76
The Metamorphosis,£28.58
The Secret Garden,£15.08
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,£53.68
Until Friday Night (The Field Party #1),£46.31
V for Vendetta (V for Vendetta Complete),£37.10
Lord of the Flies,£24.89
Sister Sable (The Mad Queen #1),£13.33
Shadow Rites (Jane Yellowrock #10),£21.72
Origins (Alphas 0.5),£28.99
The Light of the Fireflies,£54.43
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",£53.51
The Name of God is Mercy,£37.25
The Mirror & the Maze (The Wrath and the Dawn #1.5),£29.38
The Communist Manifesto,£14.76
The Iliad,£16.16
Myriad (Prentor #1),£58.75
One Second (Seven #7),£52.94
Walt Disney's Alice in Wonderland,£12.96
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",£53.90
What's It Like in Space?: Stories from Astronauts Who've Been There,£19.60
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,£38.20
Killing Floor (Jack Reacher #1),£31.49
Maybe Something Beautiful: How Art Transformed a Neighborhood,£22.54
Remember Me?,£11.48
Fire Bound (Sea Haven/Sisters of the Heart #5),£21.28
Cosmos,£36.17
#GIRLBOSS,£50.96
Vampire Girl (Vampire Girl #1),£53.82
The Silent Twin (Detective Jennifer Knight #3),£36.25
The Sense of an Ending,£31.38
The Republic,£33.78
The Odyssey,£29.64
Manuscript Found in Accra,£34.98
Shiver (The Wolves of Mercy Falls #1),£16.23
The 5th Wave (The 5th Wave #1),£11.83
The Dream Thieves (The Raven Cycle #2),£34.50
Let It Out: A Journey Through Journaling,£26.79
Hamilton: The Revolution,£58.79
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",£15.06
You (You #1),£43.61
"Blue Lily, Lily Blue (The Raven Cycle #3)",£34.13
Drama,£38.70
Evicted: Poverty and Profit in the American City,£42.27
Fool Me Once,£16.96
Harry Potter and the Deathly Hallows (Harry Potter #7),£23.32
If I Stay (If I Stay #1),£38.13
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),£36.55
The Case for Christ (Cases for Christianity),£47.84
The Blind Side: Evolution of a Game,£53.71
Seven Days in the Art World,£52.33
Sarah's Key,£46.29
Rogue Lawyer (Rogue Lawyer #1),£50.11
Matilda,£28.34
Charlie and the Chocolate Factory (Charlie Bucket #1),£22.85
Agnostic: A Spirited Manifesto,£12.51
The Catcher in the Rye,£24.55
Amatus,£50.54
Amid the Chaos,£36.58
Amy Meets the Saints and Sages,£18.46
Anonymous,£46.82
Ayumi's Violin,£15.48
Batman: The Dark Knight Returns (Batman),£15.38
Batman: The Long Halloween (Batman),£36.50
Kindle Paperwhite User's Guide,£34.00
Some Women,£13.73
The Hound of the Baskervilles (Sherlock Holmes #5),£14.82
The Hunger Games (The Hunger Games #1),£29.85
The Pilgrim's Progress,£50.26
The Shining (The Shining #1),£27.88
Vogue Colors A to Z: A Fashion Coloring Book,£52.35
Are We There Yet?,£10.66
Red: The True Story of Red Riding Hood,£28.54
Horrible Bear!,£37.52
Green Eggs and Ham (Beginner Books B-16),£10.79
Counting Thyme,£10.62
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),£52.88
The Purpose Driven Life: What on Earth Am I Here for?,£37.19
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),£47.80
The Rest Is Noise: Listening to the Twentieth Century,£34.77
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),£57.48
"The End of Faith: Religion, Terror, and the Future of Reason",£22.13
The Complete Poems,£41.32
H is for Hawk,£57.42
Travels with Charley: In Search of America,£57.82
The Tumor,£41.56
The End of the Jesus Era (An Investigation #1),£14.40
Mockingjay (The Hunger Games #3),£20.44
Outlander (Outlander #1),£19.67
Gone with the Wind,£32.49
Harry Potter and the Sorcerer's Stone (Harry Potter #1),£13.90
Little Women (Little Women #1),£28.07
Shopaholic Ties the Knot (Shopaholic #3),£48.39
Black Flags: The Rise of ISIS,£40.87
The Tipping Point: How Little Things Can Make a Big Difference,£10.02
A Walk in the Woods: Rediscovering America on the Appalachian Trail,£30.48
"The Suffragettes (Little Black Classics, #96)",£11.89
"Eat, Pray, Love",£51.32
The Cat in the Hat (Beginner Books B-1),£16.26
Are We Smart Enough to Know How Smart Animals Are?,£56.58
A Clash of Kings (A Song of Ice and Fire #2),£10.79
A Game of Thrones (A Song of Ice and Fire #1),£46.42
Alight (The Generations Trilogy #2),£58.59
Beauty Restored (Riley Family Legacy Novellas #3),£11.11
Becoming Wise: An Inquiry into the Mystery and Art of Living,£27.43
Big Magic: Creative Living Beyond Fear,£30.80
Close to You,£49.46
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",£19.43
Dark Notes,£19.19
A Time of Torment (Charlie Parker #14),£48.35
"Where'd You Go, Bernadette",£18.13
Wild: From Lost to Found on the Pacific Crest Trail,£46.02
World War Z: An Oral History of the Zombie War,£21.80
Wuthering Heights,£17.73
Zero History (Blue Ant #3),£34.77
Animal Farm,£57.22
Can You Keep a Secret?,£21.94
Candide,£58.63
Confessions of a Shopaholic (Shopaholic #1),£48.94
A Study in Scarlet (Sherlock Holmes #1),£16.73
Poisonous (Max Revere Novels #3),£26.80
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36
Counted With the Stars (Out from Egypt #1),£17.97
If I Run (If I Run #1),£49.97
Cravings: Recipes for What You Want to Eat,£20.50
32 Yolks,£53.63
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",£11.38
Abstract City,£56.37
13 Hours: The Inside Account of What Really Happened In Benghazi,£27.06
Drive: The Surprising Truth About What Motivates Us,£34.95
Eureka Trivia 6.0,£54.59
"Fables, Vol. 1: Legends in Exile (Fables #1)",£41.62
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",£12.34
First Steps for New Christians (Print Edition),£29.00
Frostbite (Vampire Academy #2),£29.99
Twenties Girl,£42.80
The Thing About Jellyfish,£48.77
The Undomestic Goddess,£45.75
Twilight (Twilight #1),£41.93
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,£57.36
The Wild Robot,£56.07
Little Red,£13.47
Library of Souls (Miss Peregrine’s Peculiar Children #3),£48.56
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),£10.76
Grumbles,£22.16
Large Print Heart of the Pride,£19.15
Boar Island (Anna Pigeon #19),£59.48
Playing with Fire,£13.71
What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37
Something More Than This,£16.24
The Widow,£27.26
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55
The Argonauts,£10.93
The Art of War,£33.34
Suddenly in Love (Lake Haven #1),£55.99
The Star-Touched Queen,£46.02
The Hidden Oracle (The Trials of Apollo #1),£52.26
The Bane Chronicles (The Bane Chronicles #1-11),£44.73
Island of Dragons (Unwanteds #7),£29.65
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),£37.51
Ready Player One,£19.07
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",£33.26
The Maze Runner (The Maze Runner #1),£20.93
The Nanny Diaries (Nanny #1),£52.53
The Paris Wife,£36.80
The Picture of Dorian Gray,£29.70
Dune (Dune #1),£54.86
The Lover's Dictionary,£58.09
The House by the Lake,£36.95
The Long Shadow of Small Ghosts: Murder and Memory in an American City,£10.97
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,£37.60
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,£37.34
The Lonely Ones,£43.59
The Project,£10.65
The Shadow Hero (The Shadow Hero),£33.14
Searching for Meaning in Gailana,£38.73
The Star-Touched Queen,£32.30
A Shard of Ice (The Black Symphony Saga #1),£56.63
King's Folly (The Kinsman Chronicles #1),£39.61
Code Name Verity (Code Name Verity #1),£22.13
Cell,£20.29
The Day the Crayons Came Home (Crayons),£26.33
The Girl Who Played with Fire (Millennium Trilogy #2),£22.14
The Giver (The Giver Quartet #1),£12.30
The Goldfinch,£43.58
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,£33.92
Angels Walking (Angels Walking #1),£34.20
The Demon-Haunted World: Science as a Candle in the Dark,£52.25
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",£56.48
A People's History of the United States,£40.79
The Wedding Dress,£24.12
The Last Girl (The Dominion Trilogy #1),£36.26
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96
The Book of Basketball: The NBA According to The Sports Guy,£44.84
"Friday Night Lights: A Town, a Team, and a Dream",£51.22
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,£58.08
Thirteen Reasons Why,£52.72
Throne of Glass (Throne of Glass #1),£35.07
Tracing Numbers on a Train,£41.60
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30
(Un)Qualified: How God Uses Broken People to Do Big Things,£54.00
A Court of Thorns and Roses (A Court of Thorns and Roses #1),£52.37
A Fierce and Subtle Poison,£28.13
Shopaholic & Baby (Shopaholic #5),£46.45
The Book Thief,£53.49
A Flight of Arrows (The Pathfinders #2),£55.53
A Murder in Time,£16.64
The Autobiography of Malcolm X,£23.43
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",£56.76
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),£26.78
A World of Flavor: Your Gluten Free Passport,£42.95
Girl With a Pearl Earring,£26.77
Logan Kade (Fallen Crest High #5.5),£13.12
World Without End (The Pillars of the Earth #2),£32.97
The Passion of Dolssa,£28.32
The Red Tent,£35.66
The Hook Up (Game On #1),£36.29
Voyager (Outlander #3),£21.07
Shameless,£58.35
The Psychopath Test: A Journey Through the Madness Industry,£36.00
Off Sides (Off #1),£39.45
Rook,£37.86
The Kite Runner,£41.82
The Midnight Watch: A Novel of the Titanic and the Californian,£26.20
The Secret (The Secret #1),£27.37
The Girl on the Train,£55.02
The Emerald Mystery,£23.15
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,£32.00
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",£28.09
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",£37.92
Bossypants,£49.46
Burning,£28.81
Camp Midnight,£17.08
"Codename Baboushka, Volume 1: The Conclave of Death",£36.72
One for the Money (Stephanie Plum #1),£32.87
Orange Is the New Black,£24.61
Danganronpa Volume 1,£51.99
Rework,£44.88
Crown of Midnight (Throne of Glass #2),£43.29
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",£37.97
Packing for Mars: The Curious Science of Life in the Void,£56.68
Quiet: The Power of Introverts in a World That Can't Stop Talking,£43.55
First and First (Five Boroughs #3),£15.97
Fifty Shades Darker (Fifty Shades #2),£21.96
I am a Hero Omnibus Volume 1,£54.63
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",£29.17
"Giant Days, Vol. 2 (Giant Days #5-8)",£22.11
Her Backup Boyfriend (The Sorensen Family #1),£33.97
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69
How to Be Miserable: 40 Strategies You Already Use,£46.03
"Lean In: Women, Work, and the Will to Lead",£25.02
Life After Life,£26.13
Morning Star (Red Rising #3),£29.40
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36
"Pop Gun War, Volume 1: Gift",£18.97
Princess Between Worlds (Wide-Awake Princess #5),£13.34
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61
The Guernsey Literary and Potato Peel Pie Society,£49.53
Girl in the Blue Coat,£46.83
The Art Forger,£40.76
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02
Security,£39.25
Soul Reader,£39.58
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05
The Death of Humanity: and the Case for Life,£58.11
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96
The Murder That Never Was (Forensic Instincts #5),£54.11
The Nameless City (The Nameless City #1),£38.16
Gone Girl,£37.60
Is Everyone Hanging Out Without Me? (And Other Concerns),£20.11
The Devil Wears Prada (The Devil Wears Prada #1),£44.29
Something Borrowed (Darcy & Rachel #1),£48.96
Something Blue (Darcy & Rachel #2),£54.62
I've Got Your Number,£19.69
The Edge of Reason (Bridget Jones #2),£19.18
Night Sky with Exit Wounds,£41.05
Bridget Jones's Diary (Bridget Jones #1),£29.82
Out of Print: City Lights Spotlight No. 14,£53.64
Les Fleurs du Mal,£29.04
Howl and Other Poems,£40.45
salt.,£46.78
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",£50.89
Kill 'Em and Leave: Searching for James Brown and the American Soul,£45.05
The Power of Now: A Guide to Spiritual Enlightenment,£43.54
"Chronicles, Vol. 1",£52.60
So You've Been Publicly Shamed,£12.23
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",£43.70
The Omnivore's Dilemma: A Natural History of Four Meals,£38.21
The Genius of Birds,£17.24
The Artist's Way: A Spiritual Path to Higher Creativity,£38.49
Shtum,£55.84
Dark Places,£23.90
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",£17.81
Dead Wake: The Last Crossing of the Lusitania,£39.24
Dracula,£52.62
Eclipse (Twilight #3),£18.74
Fellside,£38.62
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",£29.93
Critique of Pure Reason,£20.75
"Run, Spot, Run: The Ethics of Keeping Pets",£20.02
Beyond Good and Evil,£43.38
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),£59.71
Far From True (Promise Falls Trilogy #2),£34.93
The Nicomachean Ethics,£36.34
Meditations,£25.89
The Travelers,£15.77
Someone Like You (The Harrisons #2),£52.79
We Are All Completely Beside Ourselves,£24.04
"1,000 Places to See Before You Die",£26.08
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",£21.15
Louisa: The Extraordinary Life of Mrs. Adams,£16.85
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),£23.21
Neither Here nor There: Travels in Europe,£38.95
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,£39.55
Beautiful Creatures (Caster Chronicles #1),£21.55
Beowulf,£38.35
Breaking Dawn (Twilight #4),£35.28
Benjamin Franklin: An American Life,£48.19
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),£42.57
The Story of Hong Gildong,£43.19
The Little Prince,£45.42
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",£13.03
Sense and Sensibility,£37.46
Of Mice and Men,£47.11
Emma,£32.93
Alice in Wonderland (Alice's Adventures in Wonderland #1),£55.53
Peak: Secrets from the New Science of Expertise,£16.28
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",£57.35
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",£25.83
Seven Brief Lessons on Physics,£30.60
The Selfish Gene,£29.45
The Natural History of Us (The Fine Art of Pretending #2),£45.22
The Secret of Dreadwillow Carse,£56.13
The Torch Is Passed: A Harding Family Story,£19.09
Thirst,£17.27
The Past Never Ends,£56.50
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41
A Visit from the Goon Squad,£14.08
And Then There Were None,£35.01
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52
Unicorn Tracks,£18.78
This One Summer,£19.49
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18
Untitled Collection: Sabbath Poems 2014,£14.27
"We Love You, Charlie Freeman",£50.27
When We Collided,£31.77
Without Borders (Wanderlove #1),£45.07
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11
Reasons to Stay Alive,£26.41
Slow States of Collapse: Poems,£57.31
"Vampire Knight, Vol. 1 (Vampire Knight #1)",£15.40
No One Here Gets Out Alive,£20.02
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",£12.36
Life,£31.58
Old Records Never Die: One Man's Quest for His Vinyl and His Past,£55.66
Forever Rockers (The Rocker #12),£28.80
You Are What You Love: The Spiritual Power of Habit,£21.87
God: The Most Unpleasant Character in All Fiction,£30.03
The Book of Mormon,£24.57
The Zombie Room,£19.69
The Bhagavad Gita,£57.49
In Her Wake,£12.84
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",£27.62
Choosing Our Religion: The Spiritual Lives of America's Nones,£28.42
The Name of the Wind (The Kingkiller Chronicle #1),£50.59
Taking Shots (Assassins #1),£18.88
Shatter Me (Shatter Me #1),£42.40
Paradise Lost (Paradise #1),£24.96
On the Road (Duluoz Legend),£32.36
Jane Eyre,£38.43
Frankenstein,£38.00
